{1, 0.9375567086533892, 2.3618119097491904*^-6}
{2, 0.9405970141801048 + 0.*I, 0.000032453818380006465 + 0.*I}
{3, 0.9427972158972185 + 0.*I, 0.00014601784405096125 + 0.*I}
{4, 0.9449838473951667 + 0.*I, 0.0004073905986049268 + 0.*I}
{5, 0.9471497737120299 + 0.*I, 0.0008693667777503604 + 0.*I}
{6, 0.9492924177395798 + 0.*I, 0.001561289787962636 + 0.*I}
{7, 0.951317523344677 + 0.*I, 0.002486819417809358 + 0.*I}
{8, 0.9532216885363614 + 0.*I, 0.0036284750901997825 + 0.*I}
{9, 0.954970868418752 + 0.*I, 0.004955034375523379 + 0.*I}
{10, 0.9565586232215205 + 0.*I, 0.0064287844959352546 + 0.*I}
{11, 0.95799569515673 + 0.*I, 0.008011124435917751 + 0.*I}
{12, 0.9592728658008868 + 0.*I, 0.009666178407759704 + 0.*I}
{13, 0.9604116199293071 + 0.*I, 0.011362689716658103 + 0.*I}
{14, 0.961431428247229 + 0.*I, 0.01307470417422952 + 0.*I}
{15, 0.9623322537655702 + 0.*I, 0.014781479166488738 + 0.*I}
{16, 0.963136923751589 + 0.*I, 0.016466987251206936 + 0.*I}
{17, 0.9638493188779771 + 0.*I, 0.018119250392127372 + 0.*I}
{18, 0.9644873211770056 + 0.*I, 0.01972964028029624 + 0.*I}
{19, 0.965056862978064 + 0.*I, 0.021292224517181272 + 0.*I}
{20, 0.9655663479400279 + 0.*I, 0.022803199200066935 + 0.*I}
{21, 0.9660203692465924 + 0.*I, 0.024260406779965875 + 0.*I}
{22, 0.9664309298295275 + 0.*I, 0.02566294104984208 + 0.*I}
{23, 0.9667998307894704 + 0.*I, 0.027010835092604414 + 0.*I}
{24, 0.9671338743071402 + 0.*I, 0.028304808510177373 + 0.*I}
{25, 0.9674362644152947 + 0.*I, 0.029546075414890835 + 0.*I}
{26, 0.9677106543258287 + 0.*I, 0.03073619321526916 + 0.*I}
{27, 0.9679602203605052 + 0.*I, 0.03187694722023613 + 0.*I}
{28, 0.9681877282111057 + 0.*I, 0.03297026306949 + 0.*I}
{29, 0.9683932291446339 + 0.*I, 0.03401814092418499 + 0.*I}
{30, 0.9685835865884 + 0.*I, 0.03502260608547091 + 0.*I}
{31, 0.9687582511766263 + 0.*I, 0.0359856735145191 + 0.*I}
{32, 0.968918841890136 + 0.*I, 0.036909322429947405 + 0.*I}
{33, 0.9690667821900055 + 0.*I, 0.0377954779686595 + 0.*I}
{34, 0.9692033265625337 + 0.*I, 0.038645998858125405 + 0.*I}
{35, 0.9693295831470256 + 0.*I, 0.03946266950471037 + 0.*I}
{36, 0.9694465320970457 + 0.*I, 0.0402471953981083 + 0.*I}
{37, 0.9695550439170342 + 0.*I, 0.041001200983137545 + 0.*I}
{38, 0.9696558916077543 + 0.*I, 0.041726229348451306 + 0.*I}
{39, 0.9697497643558851 + 0.*I, 0.04242374323167629 + 0.*I}
{40, 0.9698372773737081 + 0.*I, 0.04309512696033888 + 0.*I}
{41, 0.9699189810271565 + 0.*I, 0.04374168903796871 + 0.*I}
{42, 0.9699953684950602 + 0.*I, 0.044364665155716014 + 0.*I}
{43, 0.9700668826886454 + 0.*I, 0.044965221463815916 + 0.*I}
{44, 0.9701339226997803 + 0.*I, 0.045544457979406115 + 0.*I}
{45, 0.9701968483971547 + 0.*I, 0.046103412039092476 + 0.*I}
{46, 0.970254422282388 + 0.*I, 0.046643061640932376 + 0.*I}
{47, 0.9703100744219298 + 0.*I, 0.047164328925347165 + 0.*I}
{48, 0.9703624963788519 + 0.*I, 0.04766808343664021 + 0.*I}
{49, 0.970411930567996 + 0.*I, 0.048155145222709354 + 0.*I}
{50, 0.9704585964008514 + 0.*I, 0.048626287825349876 + 0.*I}
{51, 0.9705026948255244 + 0.*I, 0.04908224112175228 + 0.*I}
{52, 0.9705444082954434 + 0.*I, 0.04952369401437849 + 0.*I}
{53, 0.9705839038990108 + 0.*I, 0.049951296969413805 + 0.*I}
{54, 0.9706213344492542 + 0.*I, 0.05036566440592263 + 0.*I}
{55, 0.9706568401890112 + 0.*I, 0.05076737694010096 + 0.*I}
{56, 0.970690549515908 + 0.*I, 0.05115698349004702 + 0.*I}
{57, 0.9707225802494035 + 0.*I, 0.05153500324704742 + 0.*I}
{58, 0.970753041680837 + 0.*I, 0.05190192751982038 + 0.*I}
{59, 0.9707820330187791 + 0.*I, 0.052258221459307246 + 0.*I}
{60, 0.9708096470659514 + 0.*I, 0.052604325669641135 + 0.*I}
{61, 0.9708359688108466 + 0.*I, 0.05294065771343741 + 0.*I}
{62, 0.9708610774123393 + 0.*I, 0.05326761351688959 + 0.*I}
{63, 0.9708850451968045 + 0.*I, 0.05358556868205863 + 0.*I}
{64, 0.9709079402049867, 0.05389487974392831}
{65, 0.9709298251497668, 0.05419588523910263}
{66, 0.9709507579372375, 0.05448890680133623}
{67, 0.970970792895684, 0.05477425019727708}
{68, 0.9709899799816241, 0.055052206233597405}
{69, 0.971008366626105, 0.05532305162677572}
{70, 0.9710259962066983, 0.055587049816304725}
{71, 0.9710429097033814, 0.055844451724572655}
{72, 0.9710591449396831, 0.05609549646769784}
{73, 0.9710747375813317, 0.05634041202038916}
{74, 0.9710897211605696, 0.05657941583821897}
{75, 0.9711041265040271, 0.05681271544036436}
{76, 0.9711179834756681, 0.057040508955160156}
{77, 0.9711313188957804, 0.05726298563171684}
{78, 0.9711441585003557, 0.05748032631922738}
{79, 0.9711565273450553, 0.05769270391665261}
{80, 0.971168446658966, 0.057900283794850065}
{81, 0.9711799394275746, 0.05810322419245145}
{82, 0.9711910241861427, 0.05830167658830151}
{83, 0.9712017214472486, 0.058495786050819946}
{84, 0.971212047832837, 0.05868569156691536}
{85, 0.9712220208743194, 0.058871526351035715}
{86, 0.9712316554909886, 0.0590534181363241}
{87, 0.9712409688948385, 0.059231489448241526}
{88, 0.9712499733234329, 0.059405857863010156}
{89, 0.9712586822444341, 0.05957663625049858}
{90, 0.971267109671361, 0.059743933003446756}
{91, 0.9712752672475732, 0.05990785225385247}
{92, 0.9712831655760314, 0.060068494077089044}
{93, 0.9712908153604365, 0.06022595468433942}
{94, 0.9712982282104057, 0.06038032660474274}
{95, 0.9713054126853147, 0.0605316988573563}
{96, 0.9713123789699243, 0.06068015711368069}
{97, 0.9713191354709124, 0.06082578385149287}
{98, 0.971325689742471, 0.06096865850030042}
{99, 0.9713320502952919, 0.0611088575790871}
{100, 0.971338224996114, 0.06124645482676756}
